interval_start,location,category,sales_count,total_sales_value,sales_count_pct_within_location,sales_value_pct_within_location,sales_count_pct_of_grand_total,sales_value_pct_of_grand_total
2023-06-01 00:00:00+00,Online,Laste_riided,16,2065.41,13.79,5.65,3.77,1.65
2023-06-01 00:00:00+00,Online,Meeste_riided,28,8569.88,24.14,23.43,6.60,6.85
2023-06-01 00:00:00+00,Online,Naiste_riided,22,7111.58,18.97,19.44,5.19,5.68
2023-06-01 00:00:00+00,Pärnu,Aksessuaarid,5,697.77,10.87,5.23,1.18,0.56
2023-06-01 00:00:00+00,Pärnu,Jalanõusid,14,3598.52,30.43,26.95,3.30,2.88
2023-06-01 00:00:00+00,Pärnu,Laste_riided,6,781.82,13.04,5.86,1.42,0.62
2023-06-01 00:00:00+00,Pärnu,Meeste_riided,10,4231.98,21.74,31.69,2.36,3.38
2023-06-01 00:00:00+00,Pärnu,Naiste_riided,11,4042.48,23.91,30.27,2.59,3.23
2023-06-01 00:00:00+00,Tallinn,Aksessuaarid,30,6595.85,16.67,13.41,7.08,5.27
2023-06-01 00:00:00+00,Tallinn,Jalanõusid,43,15958.99,23.89,32.45,10.14,12.75
2023-06-01 00:00:00+00,Tallinn,Laste_riided,31,5751.10,17.22,11.70,7.31,4.59
2023-06-01 00:00:00+00,Tallinn,Meeste_riided,31,7775.18,17.22,15.81,7.31,6.21
2023-06-01 00:00:00+00,Tallinn,Naiste_riided,45,13092.18,25.00,26.62,10.61,10.46
2023-06-01 00:00:00+00,Tartu,Aksessuaarid,14,2314.91,17.07,8.89,3.30,1.85
2023-06-01 00:00:00+00,Tartu,Jalanõusid,19,6701.51,23.17,25.72,4.48,5.35
2023-06-01 00:00:00+00,Tartu,Laste_riided,16,2123.20,19.51,8.15,3.77,1.70
2023-06-01 00:00:00+00,Tartu,Meeste_riided,12,4166.73,14.63,15.99,2.83,3.33
2023-06-01 00:00:00+00,Tartu,Naiste_riided,21,10747.13,25.61,41.25,4.95,8.59
2023-07-01 00:00:00+00,Online,Aksessuaarid,20,4705.76,16.00,12.46,4.73,3.85
2023-07-01 00:00:00+00,Online,Jalanõusid,26,12135.00,20.80,32.13,6.15,9.93
2023-07-01 00:00:00+00,Online,Laste_riided,24,3773.25,19.20,9.99,5.67,3.09
2023-07-01 00:00:00+00,Online,Meeste_riided,28,8335.80,22.40,22.07,6.62,6.82
2023-07-01 00:00:00+00,Online,Naiste_riided,27,8824.14,21.60,23.36,6.38,7.22
2023-07-01 00:00:00+00,Pärnu,Aksessuaarid,9,2937.26,19.15,22.07,2.13,2.40
2023-07-01 00:00:00+00,Pärnu,Jalanõusid,5,3309.21,10.64,24.87,1.18,2.71
2023-07-01 00:00:00+00,Pärnu,Laste_riided,11,1528.75,23.40,11.49,2.60,1.25
2023-07-01 00:00:00+00,Pärnu,Meeste_riided,11,2510.25,23.40,18.86,2.60,2.05
2023-07-01 00:00:00+00,Pärnu,Naiste_riided,11,3022.61,23.40,22.71,2.60,2.47
2023-07-01 00:00:00+00,Tallinn,Aksessuaarid,32,6730.19,16.75,13.08,7.57,5.51
2023-07-01 00:00:00+00,Tallinn,Jalanõusid,33,13138.04,17.28,25.53,7.80,10.75
2023-07-01 00:00:00+00,Tallinn,Laste_riided,47,6562.10,24.61,12.75,11.11,5.37
2023-07-01 00:00:00+00,Tallinn,Meeste_riided,41,12120.97,21.47,23.55,9.69,9.92
2023-07-01 00:00:00+00,Tallinn,Naiste_riided,38,12912.62,19.90,25.09,8.98,10.57
2023-07-01 00:00:00+00,Tartu,Aksessuaarid,10,1745.56,16.67,8.88,2.36,1.43
2023-07-01 00:00:00+00,Tartu,Jalanõusid,13,5536.58,21.67,28.15,3.07,4.53
2023-07-01 00:00:00+00,Tartu,Laste_riided,9,1551.96,15.00,7.89,2.13,1.27
2023-07-01 00:00:00+00,Tartu,Meeste_riided,12,4204.23,20.00,21.38,2.84,3.44
2023-07-01 00:00:00+00,Tartu,Naiste_riided,16,6628.77,26.67,33.70,3.78,5.42
2023-08-01 00:00:00+00,Online,Aksessuaarid,24,3516.45,18.32,11.18,5.65,2.92
2023-08-01 00:00:00+00,Online,Jalanõusid,22,8263.82,16.79,26.27,5.18,6.86
2023-08-01 00:00:00+00,Online,Laste_riided,31,4683.29,23.66,14.89,7.29,3.89
2023-08-01 00:00:00+00,Online,Meeste_riided,31,9308.42,23.66,29.59,7.29,7.73
2023-08-01 00:00:00+00,Online,Naiste_riided,23,5685.86,17.56,18.07,5.41,4.72
2023-08-01 00:00:00+00,Pärnu,Aksessuaarid,8,1288.52,16.33,8.35,1.88,1.07
2023-08-01 00:00:00+00,Pärnu,Jalanõusid,10,5105.66,20.41,33.10,2.35,4.24
2023-08-01 00:00:00+00,Pärnu,Laste_riided,7,747.38,14.29,4.85,1.65,0.62
2023-08-01 00:00:00+00,Pärnu,Meeste_riided,13,3720.12,26.53,24.12,3.06,3.09
2023-08-01 00:00:00+00,Pärnu,Naiste_riided,11,4562.09,22.45,29.58,2.59,3.79
2023-08-01 00:00:00+00,Tallinn,Aksessuaarid,24,6567.75,14.81,13.47,5.65,5.45
2023-08-01 00:00:00+00,Tallinn,Jalanõusid,37,15778.46,22.84,32.37,8.71,13.10
2023-08-01 00:00:00+00,Tallinn,Laste_riided,34,6482.26,20.99,13.30,8.00,5.38
2023-08-01 00:00:00+00,Tallinn,Meeste_riided,40,10713.83,24.69,21.98,9.41,8.89
2023-08-01 00:00:00+00,Tallinn,Naiste_riided,27,9204.64,16.67,18.88,6.35,7.64
2023-08-01 00:00:00+00,Tartu,Aksessuaarid,13,2641.41,15.66,10.64,3.06,2.19
2023-08-01 00:00:00+00,Tartu,Jalanõusid,22,6682.08,26.51,26.91,5.18,5.55
2023-08-01 00:00:00+00,Tartu,Laste_riided,16,3074.94,19.28,12.38,3.76,2.55
2023-08-01 00:00:00+00,Tartu,Meeste_riided,22,8544.67,26.51,34.41,5.18,7.09
2023-08-01 00:00:00+00,Tartu,Naiste_riided,10,3888.99,12.05,15.66,2.35,3.23
2023-09-01 00:00:00+00,Online,Aksessuaarid,19,5387.63,16.67,15.15,5.79,5.60
2023-09-01 00:00:00+00,Online,Jalanõusid,22,7667.87,19.30,21.56,6.71,7.97
2023-09-01 00:00:00+00,Online,Laste_riided,22,3021.64,19.30,8.50,6.71,3.14
2023-09-01 00:00:00+00,Online,Meeste_riided,22,8190.63,19.30,23.03,6.71,8.52
2023-09-01 00:00:00+00,Online,Naiste_riided,29,11294.18,25.44,31.76,8.84,11.75
2023-09-01 00:00:00+00,Pärnu,Aksessuaarid,6,1338.54,15.79,11.51,1.83,1.39
2023-09-01 00:00:00+00,Pärnu,Jalanõusid,5,2823.31,13.16,24.27,1.52,2.94
2023-09-01 00:00:00+00,Pärnu,Laste_riided,11,1974.87,28.95,16.98,3.35,2.05
2023-09-01 00:00:00+00,Pärnu,Meeste_riided,8,2431.67,21.05,20.91,2.44,2.53
2023-09-01 00:00:00+00,Pärnu,Naiste_riided,8,3063.58,21.05,26.34,2.44,3.19
2023-09-01 00:00:00+00,Tallinn,Aksessuaarid,18,4168.33,14.63,13.03,5.49,4.33
2023-09-01 00:00:00+00,Tallinn,Jalanõusid,28,9969.78,22.76,31.15,8.54,10.37
2023-09-01 00:00:00+00,Tallinn,Laste_riided,28,3562.79,22.76,11.13,8.54,3.71
2023-09-01 00:00:00+00,Tallinn,Meeste_riided,29,8984.33,23.58,28.07,8.84,9.34
2023-09-01 00:00:00+00,Tallinn,Naiste_riided,20,5316.25,16.26,16.61,6.10,5.53
2023-09-01 00:00:00+00,Tartu,Aksessuaarid,10,2067.62,18.87,12.19,3.05,2.15
2023-09-01 00:00:00+00,Tartu,Jalanõusid,5,3138.66,9.43,18.51,1.52,3.26
2023-09-01 00:00:00+00,Tartu,Laste_riided,13,1995.14,24.53,11.76,3.96,2.07
2023-09-01 00:00:00+00,Tartu,Meeste_riided,14,5470.07,26.42,32.25,4.27,5.69
2023-09-01 00:00:00+00,Tartu,Naiste_riided,11,4289.19,20.75,25.29,3.35,4.46
2023-10-01 00:00:00+00,Online,Aksessuaarid,19,3665.98,19.79,12.21,5.85,3.90
2023-10-01 00:00:00+00,Online,Jalanõusid,16,5485.46,16.67,18.28,4.92,5.84
2023-10-01 00:00:00+00,Online,Laste_riided,18,2810.00,18.75,9.36,5.54,2.99
2023-10-01 00:00:00+00,Online,Meeste_riided,20,9048.47,20.83,30.15,6.15,9.64
2023-10-01 00:00:00+00,Online,Naiste_riided,23,9003.58,23.96,30.00,7.08,9.59
2023-10-01 00:00:00+00,Pärnu,Aksessuaarid,4,1260.70,14.81,19.03,1.23,1.34
2023-10-01 00:00:00+00,Pärnu,Jalanõusid,9,2511.18,33.33,37.91,2.77,2.67
2023-10-01 00:00:00+00,Pärnu,Laste_riided,8,1036.66,29.63,15.65,2.46,1.10
2023-10-01 00:00:00+00,Pärnu,Meeste_riided,5,1578.29,18.52,23.82,1.54,1.68
2023-10-01 00:00:00+00,Pärnu,Naiste_riided,1,237.71,3.70,3.59,0.31,0.25
2023-10-01 00:00:00+00,Tallinn,Aksessuaarid,33,7575.69,24.44,18.85,10.15,8.07
2023-10-01 00:00:00+00,Tallinn,Jalanõusid,25,9240.08,18.52,23.00,7.69,9.84
2023-10-01 00:00:00+00,Tallinn,Laste_riided,25,4468.57,18.52,11.12,7.69,4.76
2023-10-01 00:00:00+00,Tallinn,Meeste_riided,17,5428.22,12.59,13.51,5.23,5.78
2023-10-01 00:00:00+00,Tallinn,Naiste_riided,35,13467.00,25.93,33.52,10.77,14.34
2023-10-01 00:00:00+00,Tartu,Aksessuaarid,10,2148.71,14.93,12.59,3.08,2.29
2023-10-01 00:00:00+00,Tartu,Jalanõusid,10,2998.52,14.93,17.57,3.08,3.19
2023-10-01 00:00:00+00,Tartu,Laste_riided,12,1942.67,17.91,11.38,3.69,2.07
2023-10-01 00:00:00+00,Tartu,Meeste_riided,23,6907.83,34.33,40.48,7.08,7.36
2023-10-01 00:00:00+00,Tartu,Naiste_riided,12,3067.96,17.91,17.98,3.69,3.27
2023-11-01 00:00:00+00,Online,Aksessuaarid,23,5077.12,21.30,17.11,7.06,5.12
2023-11-01 00:00:00+00,Online,Jalanõusid,31,10564.13,28.70,35.59,9.51,10.66
2023-11-01 00:00:00+00,Online,Laste_riided,20,2407.26,18.52,8.11,6.13,2.43
2023-11-01 00:00:00+00,Online,Meeste_riided,16,5375.92,14.81,18.11,4.91,5.42
2023-11-01 00:00:00+00,Online,Naiste_riided,18,6254.95,16.67,21.08,5.52,6.31
2023-11-01 00:00:00+00,Pärnu,Aksessuaarid,8,3189.54,23.53,29.88,2.45,3.22
2023-11-01 00:00:00+00,Pärnu,Jalanõusid,10,2971.48,29.41,27.84,3.07,3.00
2023-11-01 00:00:00+00,Pärnu,Laste_riided,6,976.48,17.65,9.15,1.84,0.99
2023-11-01 00:00:00+00,Pärnu,Meeste_riided,8,2195.74,23.53,20.57,2.45,2.22
2023-11-01 00:00:00+00,Pärnu,Naiste_riided,2,1340.03,5.88,12.56,0.61,1.35
2023-11-01 00:00:00+00,Tallinn,Aksessuaarid,18,6352.12,14.63,16.36,5.52,6.41
2023-11-01 00:00:00+00,Tallinn,Jalanõusid,26,8961.87,21.14,23.09,7.98,9.04
2023-11-01 00:00:00+00,Tallinn,Laste_riided,25,3618.98,20.33,9.32,7.67,3.65
2023-11-01 00:00:00+00,Tallinn,Meeste_riided,36,14552.57,29.27,37.49,11.04,14.68
2023-11-01 00:00:00+00,Tallinn,Naiste_riided,18,5330.44,14.63,13.73,5.52,5.38
2023-11-01 00:00:00+00,Tartu,Aksessuaarid,10,2145.45,16.39,10.75,3.07,2.16
2023-11-01 00:00:00+00,Tartu,Jalanõusid,12,5471.78,19.67,27.42,3.68,5.52
2023-11-01 00:00:00+00,Tartu,Laste_riided,11,2056.05,18.03,10.30,3.37,2.07
2023-11-01 00:00:00+00,Tartu,Meeste_riided,14,6923.65,22.95,34.69,4.29,6.98
2023-11-01 00:00:00+00,Tartu,Naiste_riided,14,3359.32,22.95,16.83,4.29,3.39
2023-12-01 00:00:00+00,Online,Aksessuaarid,16,2472.50,11.19,5.23,3.49,1.91
2023-12-01 00:00:00+00,Online,Jalanõusid,31,14113.29,21.68,29.85,6.77,10.92
2023-12-01 00:00:00+00,Online,Laste_riided,31,4971.77,21.68,10.51,6.77,3.85
2023-12-01 00:00:00+00,Online,Meeste_riided,40,15901.32,27.97,33.63,8.73,12.31
2023-12-01 00:00:00+00,Online,Naiste_riided,25,9828.83,17.48,20.79,5.46,7.61
2023-12-01 00:00:00+00,Pärnu,Aksessuaarid,10,2085.85,19.23,16.96,2.18,1.61
2023-12-01 00:00:00+00,Pärnu,Jalanõusid,9,2672.05,17.31,21.72,1.97,2.07
2023-12-01 00:00:00+00,Pärnu,Laste_riided,7,901.49,13.46,7.33,1.53,0.70
2023-12-01 00:00:00+00,Pärnu,Meeste_riided,16,3236.72,30.77,26.31,3.49,2.51
2023-12-01 00:00:00+00,Pärnu,Naiste_riided,10,3405.71,19.23,27.68,2.18,2.64
2023-12-01 00:00:00+00,Tallinn,Aksessuaarid,34,6802.65,19.77,15.44,7.42,5.27
2023-12-01 00:00:00+00,Tallinn,Jalanõusid,36,11077.82,20.93,25.14,7.86,8.57
2023-12-01 00:00:00+00,Tallinn,Laste_riided,36,5097.05,20.93,11.57,7.86,3.95
2023-12-01 00:00:00+00,Tallinn,Meeste_riided,24,7393.12,13.95,16.78,5.24,5.72
2023-12-01 00:00:00+00,Tallinn,Naiste_riided,42,13694.61,24.42,31.08,9.17,10.60
2023-12-01 00:00:00+00,Tartu,Aksessuaarid,17,3893.34,18.68,15.25,3.71,3.01
2023-12-01 00:00:00+00,Tartu,Jalanõusid,17,7117.38,18.68,27.88,3.71,5.51
2023-12-01 00:00:00+00,Tartu,Laste_riided,14,2672.23,15.38,10.47,3.06,2.07
2023-12-01 00:00:00+00,Tartu,Meeste_riided,20,4585.39,21.98,17.96,4.37,3.55
2023-12-01 00:00:00+00,Tartu,Naiste_riided,23,7264.63,25.27,28.45,5.02,5.62
2024-01-01 00:00:00+00,Online,Aksessuaarid,19,6388.33,16.67,19.17,6.09,7.52
2024-01-01 00:00:00+00,Online,Jalanõusid,37,12687.44,32.46,38.06,11.86,14.93
2024-01-01 00:00:00+00,Online,Laste_riided,20,3245.87,17.54,9.74,6.41,3.82
2024-01-01 00:00:00+00,Online,Meeste_riided,20,5894.07,17.54,17.68,6.41,6.94
2024-01-01 00:00:00+00,Online,Naiste_riided,18,5115.45,15.79,15.35,5.77,6.02
2024-01-01 00:00:00+00,Pärnu,Aksessuaarid,3,674.38,11.54,13.51,0.96,0.79
2024-01-01 00:00:00+00,Pärnu,Jalanõusid,7,1580.65,26.92,31.66,2.24,1.86
2024-01-01 00:00:00+00,Pärnu,Laste_riided,6,547.44,23.08,10.96,1.92,0.64
2024-01-01 00:00:00+00,Pärnu,Meeste_riided,8,1675.35,30.77,33.55,2.56,1.97
2024-01-01 00:00:00+00,Pärnu,Naiste_riided,2,515.39,7.69,10.32,0.64,0.61
2024-01-01 00:00:00+00,Tallinn,Aksessuaarid,23,4271.90,20.18,13.98,7.37,5.03
2024-01-01 00:00:00+00,Tallinn,Jalanõusid,24,7852.72,21.05,25.70,7.69,9.24
2024-01-01 00:00:00+00,Tallinn,Laste_riided,27,4235.69,23.68,13.86,8.65,4.99
2024-01-01 00:00:00+00,Tallinn,Meeste_riided,18,6176.19,15.79,20.21,5.77,7.27
2024-01-01 00:00:00+00,Tallinn,Naiste_riided,22,8022.59,19.30,26.25,7.05,9.44
2024-01-01 00:00:00+00,Tartu,Aksessuaarid,9,1177.90,15.52,7.32,2.88,1.39
2024-01-01 00:00:00+00,Tartu,Jalanõusid,7,3475.63,12.07,21.61,2.24,4.09
2024-01-01 00:00:00+00,Tartu,Laste_riided,12,1488.81,20.69,9.26,3.85,1.75
2024-01-01 00:00:00+00,Tartu,Meeste_riided,11,3061.76,18.97,19.04,3.53,3.60
2024-01-01 00:00:00+00,Tartu,Naiste_riided,19,6876.97,32.76,42.76,6.09,8.09
2024-02-01 00:00:00+00,Online,Aksessuaarid,23,6096.42,20.91,17.16,6.91,6.84
2024-02-01 00:00:00+00,Online,Jalanõusid,16,6043.83,14.55,17.01,4.80,6.78
2024-02-01 00:00:00+00,Online,Laste_riided,18,2854.77,16.36,8.04,5.41,3.20
2024-02-01 00:00:00+00,Online,Meeste_riided,19,6177.36,17.27,17.39,5.71,6.93
2024-02-01 00:00:00+00,Online,Naiste_riided,34,14353.81,30.91,40.40,10.21,16.09
2024-02-01 00:00:00+00,Pärnu,Aksessuaarid,9,1498.68,23.08,15.97,2.70,1.68
2024-02-01 00:00:00+00,Pärnu,Jalanõusid,7,2898.54,17.95,30.90,2.10,3.25
2024-02-01 00:00:00+00,Pärnu,Laste_riided,10,1383.24,25.64,14.74,3.00,1.55
2024-02-01 00:00:00+00,Pärnu,Meeste_riided,5,1337.21,12.82,14.25,1.50,1.50
2024-02-01 00:00:00+00,Pärnu,Naiste_riided,8,2264.03,20.51,24.13,2.40,2.54
2024-02-01 00:00:00+00,Tallinn,Aksessuaarid,23,4459.94,18.25,14.68,6.91,5.00
