city,channel,category,total_quantity,quantity_percentage,total_revenue,revenue_percentage
Kuressaare,Tallinn,Jalanõusid,42,45.65,8820.37,41.82
Kuressaare,Tallinn,Laste_riided,45,46.88,3769.42,45.94
Kuressaare,Tallinn,Meeste_riided,35,32.71,6453.92,31.75
Kuressaare,Tallinn,Naiste_riided,30,28.57,6409,33.23
Kuressaare,Tartu,Aksessuaarid,9,10,1448.19,15.56
Kuressaare,Tartu,Jalanõusid,19,20.65,5720.4,27.12
Kuressaare,Tartu,Laste_riided,19,19.79,1692.29,20.62
Kuressaare,Tartu,Meeste_riided,23,21.5,4000.3,19.68
Kuressaare,Tartu,Naiste_riided,21,20,3444.79,17.86
Narva,Online,Aksessuaarid,37,30.83,4281.8,32.36
Narva,Online,Jalanõusid,79,45.66,12807.68,38.99
Narva,Online,Laste_riided,48,34.53,4363.08,36.8
Narva,Online,Meeste_riided,60,34.09,11490.93,34.64
Narva,Online,Naiste_riided,56,36.36,10252.64,32.84
Narva,Pärnu,Aksessuaarid,17,14.17,2259.84,17.08
Narva,Pärnu,Jalanõusid,10,5.78,1892.82,5.76
Narva,Pärnu,Laste_riided,9,6.47,637.33,5.38
Narva,Pärnu,Meeste_riided,21,11.93,3826.45,11.54
Narva,Pärnu,Naiste_riided,11,7.14,3089.89,9.9
Narva,Tallinn,Aksessuaarid,39,32.5,3938.28,29.77
Narva,Tallinn,Jalanõusid,56,32.37,11028.4,33.57
Narva,Tallinn,Laste_riided,65,46.76,5423.26,45.75
Narva,Tallinn,Meeste_riided,73,41.48,13950.88,42.06
Narva,Tallinn,Naiste_riided,59,38.31,12019.86,38.5
Narva,Tartu,Aksessuaarid,27,22.5,2751.21,20.79
Narva,Tartu,Jalanõusid,28,16.18,7122.42,21.68
Narva,Tartu,Laste_riided,17,12.23,1431.32,12.07
Narva,Tartu,Meeste_riided,22,12.5,3901.19,11.76
Narva,Tartu,Naiste_riided,28,18.18,5860.08,18.77
Paide,Online,Aksessuaarid,8,21.05,1006.44,24.11
Paide,Online,Jalanõusid,27,46.55,6591.2,49.82
Paide,Online,Laste_riided,13,20.31,1260.82,23.52
Paide,Online,Meeste_riided,11,13.1,2278.41,13.7
Paide,Online,Naiste_riided,18,34.62,3735.97,34.72
Paide,Pärnu,Aksessuaarid,10,26.32,1119.16,26.81
Paide,Pärnu,Jalanõusid,7,12.07,1213.62,9.17
Paide,Pärnu,Laste_riided,9,14.06,728.04,13.58
Paide,Pärnu,Meeste_riided,5,5.95,999.63,6.01
Paide,Pärnu,Naiste_riided,3,5.77,303.57,2.82
Paide,Tallinn,Aksessuaarid,14,36.84,1140.64,27.32
Paide,Tallinn,Jalanõusid,17,29.31,3963.39,29.96
Paide,Tallinn,Laste_riided,26,40.63,2116.42,39.47
Paide,Tallinn,Meeste_riided,47,55.95,10407.79,62.6
Paide,Tallinn,Naiste_riided,20,38.46,4461.45,41.46
Paide,Tartu,Aksessuaarid,6,15.79,908.9,21.77
Paide,Tartu,Jalanõusid,7,12.07,1461.21,11.05
Paide,Tartu,Laste_riided,16,25,1256.48,23.43
Paide,Tartu,Meeste_riided,21,25,2939.3,17.68
Paide,Tartu,Naiste_riided,11,21.15,2259.58,21
Pärnu,Online,Aksessuaarid,131,31.72,15480.51,29.69
Pärnu,Online,Jalanõusid,175,37,35738.38,36.59
Pärnu,Online,Laste_riided,171,39.13,14776.67,40.28
Pärnu,Online,Meeste_riided,179,34.62,36367.91,38.36
Pärnu,Online,Naiste_riided,150,32.68,31992.23,35.48
Pärnu,Pärnu,Aksessuaarid,45,10.9,6433.69,12.34
Pärnu,Pärnu,Jalanõusid,38,8.03,9085.16,9.3
Pärnu,Pärnu,Laste_riided,42,9.61,3530.92,9.63
Pärnu,Pärnu,Meeste_riided,58,11.22,10129.92,10.69
Pärnu,Pärnu,Naiste_riided,46,10.02,8989.95,9.97
Pärnu,Tallinn,Aksessuaarid,150,36.32,20580.7,39.47
Pärnu,Tallinn,Jalanõusid,163,34.46,32779.89,33.56
Pärnu,Tallinn,Laste_riided,161,36.84,12813.37,34.93
Pärnu,Tallinn,Meeste_riided,193,37.33,32922.8,34.73
Pärnu,Tallinn,Naiste_riided,185,40.31,34415.79,38.17
Pärnu,Tartu,Aksessuaarid,87,21.07,9654.27,18.51
Pärnu,Tartu,Jalanõusid,97,20.51,20074.43,20.55
Pärnu,Tartu,Laste_riided,63,14.42,5560.97,15.16
Pärnu,Tartu,Meeste_riided,87,16.83,15374.82,16.22
Pärnu,Tartu,Naiste_riided,78,16.99,14765.34,16.38
Rakvere,Online,Aksessuaarid,31,35.63,3200.71,35.29
Rakvere,Online,Jalanõusid,42,32.81,7011.9,30.29
Rakvere,Online,Laste_riided,35,27.78,3342.28,29.77
Rakvere,Online,Meeste_riided,63,45.32,9079.13,42.37
Rakvere,Online,Naiste_riided,40,27.97,7161.9,25.81
Rakvere,Pärnu,Aksessuaarid,9,10.34,1343.1,14.81
Rakvere,Pärnu,Jalanõusid,15,11.72,4265.33,18.42
Rakvere,Pärnu,Laste_riided,11,8.73,1008.43,8.98
Rakvere,Pärnu,Meeste_riided,4,2.88,742.17,3.46
Rakvere,Pärnu,Naiste_riided,18,12.59,4480.83,16.15
Rakvere,Tallinn,Aksessuaarid,29,33.33,2667.92,29.42
Rakvere,Tallinn,Jalanõusid,51,39.84,9230.87,39.87
Rakvere,Tallinn,Laste_riided,46,36.51,4067.57,36.23
Rakvere,Tallinn,Meeste_riided,46,33.09,7507.18,35.03
Rakvere,Tallinn,Naiste_riided,56,39.16,9981.33,35.98
Rakvere,Tartu,Aksessuaarid,18,20.69,1857.37,20.48
Rakvere,Tartu,Jalanõusid,20,15.63,2643.63,11.42
Rakvere,Tartu,Laste_riided,34,26.98,2809.53,25.02
Rakvere,Tartu,Meeste_riided,26,18.71,4101.11,19.14
Rakvere,Tartu,Naiste_riided,29,20.28,6119.73,22.06
Tallinn,Online,Aksessuaarid,345,31.05,42269.8,31.77
Tallinn,Online,Jalanõusid,479,35.48,98036.21,34.88
Tallinn,Online,Laste_riided,435,32.88,35566.95,32.77
Tallinn,Online,Meeste_riided,512,36.11,88324.79,34.45
Tallinn,Online,Naiste_riided,385,30.29,71730.21,31.37
Tallinn,Pärnu,Aksessuaarid,128,11.52,14554.87,10.94
Tallinn,Pärnu,Jalanõusid,145,10.74,30262.64,10.77
Tallinn,Pärnu,Laste_riided,123,9.3,10673.7,9.83
Tallinn,Pärnu,Meeste_riided,137,9.66,23051.19,8.99
Tallinn,Pärnu,Naiste_riided,103,8.1,17368.94,7.6
Tallinn,Tallinn,Aksessuaarid,458,41.22,55769.67,41.92
Tallinn,Tallinn,Jalanõusid,502,37.19,104435.96,37.16
Tallinn,Tallinn,Laste_riided,525,39.68,43540.35,40.12
Tallinn,Tallinn,Meeste_riided,527,37.17,98284.46,38.34
Tallinn,Tallinn,Naiste_riided,521,40.99,91690.3,40.11
Tallinn,Tartu,Aksessuaarid,180,16.2,20459.63,15.38
Tallinn,Tartu,Jalanõusid,224,16.59,48340.58,17.2
Tallinn,Tartu,Laste_riided,240,18.14,18746.77,17.27
Tallinn,Tartu,Meeste_riided,242,17.07,46722.6,18.22
Tallinn,Tartu,Naiste_riided,262,20.61,47833.7,20.92
Tartu,Online,Aksessuaarid,183,31.12,23809.37,32.56
Tartu,Online,Jalanõusid,232,35.53,44965.13,34.11
Tartu,Online,Laste_riided,204,29.65,17940.51,29.76
Tartu,Online,Meeste_riided,240,33.71,45186.45,34.11
Tartu,Online,Naiste_riided,237,37.03,46020.85,36.77
Tartu,Pärnu,Aksessuaarid,83,14.12,9063.98,12.39
Tartu,Pärnu,Jalanõusid,70,10.72,17195.25,13.04
Tartu,Pärnu,Laste_riided,66,9.59,6064.62,10.06
Tartu,Pärnu,Meeste_riided,73,10.25,13373.14,10.09
Tartu,Pärnu,Naiste_riided,60,9.38,11352.14,9.07
Tartu,Tallinn,Aksessuaarid,210,35.71,27373.51,37.43
Tartu,Tallinn,Jalanõusid,218,33.38,43191.08,32.77
Tartu,Tallinn,Laste_riided,277,40.26,24021.02,39.85
Tartu,Tallinn,Meeste_riided,270,37.92,50822.79,38.36
Tartu,Tallinn,Naiste_riided,229,35.78,45488.97,36.35
Tartu,Tartu,Aksessuaarid,112,19.05,12886.97,17.62
Tartu,Tartu,Jalanõusid,133,20.37,26463.99,20.08
Tartu,Tartu,Laste_riided,141,20.49,12250.52,20.32
Tartu,Tartu,Meeste_riided,129,18.12,23097,17.43
Tartu,Tartu,Naiste_riided,114,17.81,22285.99,17.81
Valga,Online,Aksessuaarid,22,26.51,2207.43,24.6
Valga,Online,Jalanõusid,29,41.43,7661.25,48.89
Valga,Online,Laste_riided,28,43.75,2273.42,44.3
Valga,Online,Meeste_riided,23,28.05,4064.62,30.18
Valga,Online,Naiste_riided,37,46.84,6999.39,46.56
Valga,Pärnu,Aksessuaarid,6,7.23,673.27,7.5
Valga,Pärnu,Jalanõusid,7,10,1697.95,10.84
Valga,Pärnu,Laste_riided,7,10.94,884.71,17.24
Valga,Pärnu,Meeste_riided,7,8.54,871.89,6.47
Valga,Pärnu,Naiste_riided,6,7.59,1248.59,8.31
Valga,Tallinn,Aksessuaarid,38,45.78,4357.42,48.56
Valga,Tallinn,Jalanõusid,22,31.43,3935.02,25.11
Valga,Tallinn,Laste_riided,22,34.38,1696.89,33.06
Valga,Tallinn,Meeste_riided,44,53.66,7418.55,55.08
Valga,Tallinn,Naiste_riided,25,31.65,4303.04,28.62
Valga,Tartu,Aksessuaarid,17,20.48,1735.6,19.34
Valga,Tartu,Jalanõusid,12,17.14,2375.93,15.16
Valga,Tartu,Laste_riided,7,10.94,276.98,5.4
Valga,Tartu,Meeste_riided,8,9.76,1114.05,8.27
Valga,Tartu,Naiste_riided,11,13.92,2481.94,16.51
Viljandi,Online,Aksessuaarid,46,38.66,7119,46.04
Viljandi,Online,Jalanõusid,47,34.31,10110.48,37.01
Viljandi,Online,Laste_riided,71,57.72,5776.12,55.6
Viljandi,Online,Meeste_riided,57,38,6592.23,28.75
Viljandi,Online,Naiste_riided,47,40.87,9546.86,43.06
Viljandi,Pärnu,Aksessuaarid,11,9.24,1566.42,10.13
Viljandi,Pärnu,Jalanõusid,19,13.87,3222.79,11.8
Viljandi,Pärnu,Laste_riided,5,4.07,471.99,4.54
Viljandi,Pärnu,Meeste_riided,17,11.33,3019.87,13.17
Viljandi,Pärnu,Naiste_riided,6,5.22,1263.28,5.7
Viljandi,Tallinn,Aksessuaarid,43,36.13,4871.03,31.5
Viljandi,Tallinn,Jalanõusid,57,41.61,11586.54,42.41
Viljandi,Tallinn,Laste_riided,32,26.02,3290.9,31.68
Viljandi,Tallinn,Meeste_riided,56,37.33,9449.45,41.21
Viljandi,Tallinn,Naiste_riided,40,34.78,8023.07,36.18
Viljandi,Tartu,Aksessuaarid,19,15.97,1907.6,12.34
Viljandi,Tartu,Jalanõusid,14,10.22,2397.99,8.78
Viljandi,Tartu,Laste_riided,15,12.2,848.91,8.17
Viljandi,Tartu,Meeste_riided,20,13.33,3866.25,16.86
Viljandi,Tartu,Naiste_riided,22,19.13,3340.05,15.06
Võru,Online,Aksessuaarid,42,47.73,5585.45,54.17
Võru,Online,Jalanõusid,17,25,2574.56,19.25
Võru,Online,Laste_riided,19,32.76,1339.65,36.96
Võru,Online,Meeste_riided,29,30.53,5122.75,26.77
Võru,Online,Naiste_riided,34,47.22,6574.7,47.71
Võru,Pärnu,Aksessuaarid,6,6.82,707.17,6.86
Võru,Pärnu,Jalanõusid,7,10.29,1423.76,10.64
Võru,Pärnu,Laste_riided,10,17.24,531.44,14.66
Võru,Pärnu,Meeste_riided,4,4.21,649.78,3.39
Võru,Pärnu,Naiste_riided,7,9.72,1248.94,9.06
Võru,Tallinn,Aksessuaarid,22,25,2156.31,20.91
Võru,Tallinn,Jalanõusid,32,47.06,6212.22,46.44
Võru,Tallinn,Laste_riided,15,25.86,980.19,27.04
Võru,Tallinn,Meeste_riided,37,38.95,7841.42,40.97
Võru,Tallinn,Naiste_riided,26,36.11,4765.34,34.58
Võru,Tartu,Aksessuaarid,18,20.45,1861.92,18.06
Võru,Tartu,Jalanõusid,12,17.65,3165.78,23.67
Võru,Tartu,Laste_riided,14,24.14,773.02,21.33
Võru,Tartu,Meeste_riided,25,26.32,5525.38,28.87
Võru,Tartu,Naiste_riided,5,6.94,1192.31,8.65
