city,channel,product_category,total_quantity_sold,total_revenue
Narva,Tallinn,Laste_riided,65,5423.26
Narva,Tallinn,Meeste_riided,73,13950.88
Narva,Tallinn,Naiste_riided,59,12019.86
Narva,Tartu,Aksessuaarid,27,2751.21
Narva,Tartu,Jalanõusid,28,7122.42
Narva,Tartu,Laste_riided,17,1431.32
Narva,Tartu,Meeste_riided,22,3901.19
Narva,Tartu,Naiste_riided,28,5860.08
Paide,Online,Aksessuaarid,8,1006.44
Paide,Online,Jalanõusid,27,6591.2
Paide,Online,Laste_riided,13,1260.82
Paide,Online,Meeste_riided,11,2278.41
Paide,Online,Naiste_riided,18,3735.97
Paide,Pärnu,Aksessuaarid,10,1119.16
Paide,Pärnu,Jalanõusid,7,1213.62
Paide,Pärnu,Laste_riided,9,728.04
Paide,Pärnu,Meeste_riided,5,999.63
Paide,Pärnu,Naiste_riided,3,303.57
Paide,Tallinn,Aksessuaarid,14,1140.64
Paide,Tallinn,Jalanõusid,17,3963.39
Paide,Tallinn,Laste_riided,26,2116.42
Paide,Tallinn,Meeste_riided,47,10407.79
Paide,Tallinn,Naiste_riided,20,4461.45
Paide,Tartu,Aksessuaarid,6,908.9
Paide,Tartu,Jalanõusid,7,1461.21
Paide,Tartu,Laste_riided,16,1256.48
Paide,Tartu,Meeste_riided,21,2939.3
Paide,Tartu,Naiste_riided,11,2259.58
Pärnu,Online,Aksessuaarid,131,15480.51
Pärnu,Online,Jalanõusid,175,35738.38
Pärnu,Online,Laste_riided,171,14776.67
Pärnu,Online,Meeste_riided,179,36367.91
Pärnu,Online,Naiste_riided,150,31992.23
Pärnu,Pärnu,Aksessuaarid,45,6433.69
Pärnu,Pärnu,Jalanõusid,38,9085.16
Pärnu,Pärnu,Laste_riided,42,3530.92
Pärnu,Pärnu,Meeste_riided,58,10129.92
Pärnu,Pärnu,Naiste_riided,46,8989.95
Pärnu,Tallinn,Aksessuaarid,150,20580.7
Pärnu,Tallinn,Jalanõusid,163,32779.89
Pärnu,Tallinn,Laste_riided,161,12813.37
Pärnu,Tallinn,Meeste_riided,193,32922.8
Pärnu,Tallinn,Naiste_riided,185,34415.79
Pärnu,Tartu,Aksessuaarid,87,9654.27
Pärnu,Tartu,Jalanõusid,97,20074.43
Pärnu,Tartu,Laste_riided,63,5560.97
Pärnu,Tartu,Meeste_riided,87,15374.82
Pärnu,Tartu,Naiste_riided,78,14765.34
Rakvere,Online,Aksessuaarid,31,3200.71
Rakvere,Online,Jalanõusid,42,7011.9
Rakvere,Online,Laste_riided,35,3342.28
Rakvere,Online,Meeste_riided,63,9079.13
Rakvere,Online,Naiste_riided,40,7161.9
Rakvere,Pärnu,Aksessuaarid,9,1343.1
Rakvere,Pärnu,Jalanõusid,15,4265.33
Rakvere,Pärnu,Laste_riided,11,1008.43
Rakvere,Pärnu,Meeste_riided,4,742.17
Rakvere,Pärnu,Naiste_riided,18,4480.83
Rakvere,Tallinn,Aksessuaarid,29,2667.92
Rakvere,Tallinn,Jalanõusid,51,9230.87
Rakvere,Tallinn,Laste_riided,46,4067.57
Rakvere,Tallinn,Meeste_riided,46,7507.18
Rakvere,Tallinn,Naiste_riided,56,9981.33
Rakvere,Tartu,Aksessuaarid,18,1857.37
Rakvere,Tartu,Jalanõusid,20,2643.63
Rakvere,Tartu,Laste_riided,34,2809.53
Rakvere,Tartu,Meeste_riided,26,4101.11
Rakvere,Tartu,Naiste_riided,29,6119.73
Tallinn,Online,Aksessuaarid,345,42269.8
Tallinn,Online,Jalanõusid,479,98036.21
Tallinn,Online,Laste_riided,435,35566.95
Tallinn,Online,Meeste_riided,512,88324.79
Tallinn,Online,Naiste_riided,385,71730.21
Tallinn,Pärnu,Aksessuaarid,128,14554.87
Tallinn,Pärnu,Jalanõusid,145,30262.64
Tallinn,Pärnu,Laste_riided,123,10673.7
Tallinn,Pärnu,Meeste_riided,137,23051.19
Tallinn,Pärnu,Naiste_riided,103,17368.94
Tallinn,Tallinn,Aksessuaarid,458,55769.67
Tallinn,Tallinn,Jalanõusid,502,104435.96
Tallinn,Tallinn,Laste_riided,525,43540.35
Tallinn,Tallinn,Meeste_riided,527,98284.46
Tallinn,Tallinn,Naiste_riided,521,91690.3
Tallinn,Tartu,Aksessuaarid,180,20459.63
Tallinn,Tartu,Jalanõusid,224,48340.58
Tallinn,Tartu,Laste_riided,240,18746.77
Tallinn,Tartu,Meeste_riided,242,46722.6
Tallinn,Tartu,Naiste_riided,262,47833.7
Tartu,Online,Aksessuaarid,183,23809.37
Tartu,Online,Jalanõusid,232,44965.13
Tartu,Online,Laste_riided,204,17940.51
Tartu,Online,Meeste_riided,240,45186.45
Tartu,Online,Naiste_riided,237,46020.85
Tartu,Pärnu,Aksessuaarid,83,9063.98
Tartu,Pärnu,Jalanõusid,70,17195.25
Tartu,Pärnu,Laste_riided,66,6064.62
Tartu,Pärnu,Meeste_riided,73,13373.14
Tartu,Pärnu,Naiste_riided,60,11352.14
Tartu,Tallinn,Aksessuaarid,210,27373.51
Tartu,Tallinn,Jalanõusid,218,43191.08
Tartu,Tallinn,Laste_riided,277,24021.02
Tartu,Tallinn,Meeste_riided,270,50822.79
Tartu,Tallinn,Naiste_riided,229,45488.97
Tartu,Tartu,Aksessuaarid,112,12886.97
Tartu,Tartu,Jalanõusid,133,26463.99
Tartu,Tartu,Laste_riided,141,12250.52
Tartu,Tartu,Meeste_riided,129,23097
Tartu,Tartu,Naiste_riided,114,22285.99
Valga,Online,Aksessuaarid,22,2207.43
Valga,Online,Jalanõusid,29,7661.25
Valga,Online,Laste_riided,28,2273.42
Valga,Online,Meeste_riided,23,4064.62
Valga,Online,Naiste_riided,37,6999.39
Valga,Pärnu,Aksessuaarid,6,673.27
Valga,Pärnu,Jalanõusid,7,1697.95
Valga,Pärnu,Laste_riided,7,884.71
Valga,Pärnu,Meeste_riided,7,871.89
Valga,Pärnu,Naiste_riided,6,1248.59
Valga,Tallinn,Aksessuaarid,38,4357.42
Valga,Tallinn,Jalanõusid,22,3935.02
Valga,Tallinn,Laste_riided,22,1696.89
Valga,Tallinn,Meeste_riided,44,7418.55
Valga,Tallinn,Naiste_riided,25,4303.04
Valga,Tartu,Aksessuaarid,17,1735.6
Valga,Tartu,Jalanõusid,12,2375.93
Valga,Tartu,Laste_riided,7,276.98
Valga,Tartu,Meeste_riided,8,1114.05
Valga,Tartu,Naiste_riided,11,2481.94
Viljandi,Online,Aksessuaarid,46,7119
Viljandi,Online,Jalanõusid,47,10110.48
Viljandi,Online,Laste_riided,71,5776.12
Viljandi,Online,Meeste_riided,57,6592.23
Viljandi,Online,Naiste_riided,47,9546.86
Viljandi,Pärnu,Aksessuaarid,11,1566.42
Viljandi,Pärnu,Jalanõusid,19,3222.79
Viljandi,Pärnu,Laste_riided,5,471.99
Viljandi,Pärnu,Meeste_riided,17,3019.87
Viljandi,Pärnu,Naiste_riided,6,1263.28
Viljandi,Tallinn,Aksessuaarid,43,4871.03
Viljandi,Tallinn,Jalanõusid,57,11586.54
Viljandi,Tallinn,Laste_riided,32,3290.9
Viljandi,Tallinn,Meeste_riided,56,9449.45
Viljandi,Tallinn,Naiste_riided,40,8023.07
Viljandi,Tartu,Aksessuaarid,19,1907.6
Viljandi,Tartu,Jalanõusid,14,2397.99
Viljandi,Tartu,Laste_riided,15,848.91
Viljandi,Tartu,Meeste_riided,20,3866.25
Viljandi,Tartu,Naiste_riided,22,3340.05
Võru,Online,Aksessuaarid,42,5585.45
Võru,Online,Jalanõusid,17,2574.56
Võru,Online,Laste_riided,19,1339.65
Võru,Online,Meeste_riided,29,5122.75
Võru,Online,Naiste_riided,34,6574.7
Võru,Pärnu,Aksessuaarid,6,707.17
Võru,Pärnu,Jalanõusid,7,1423.76
Võru,Pärnu,Laste_riided,10,531.44
Võru,Pärnu,Meeste_riided,4,649.78
Võru,Pärnu,Naiste_riided,7,1248.94
Võru,Tallinn,Aksessuaarid,22,2156.31
Võru,Tallinn,Jalanõusid,32,6212.22
Võru,Tallinn,Laste_riided,15,980.19
Võru,Tallinn,Meeste_riided,37,7841.42
Võru,Tallinn,Naiste_riided,26,4765.34
Võru,Tartu,Aksessuaarid,18,1861.92
Võru,Tartu,Jalanõusid,12,3165.78
Võru,Tartu,Laste_riided,14,773.02
Võru,Tartu,Meeste_riided,25,5525.38
Võru,Tartu,Naiste_riided,5,1192.31
