movement_id,product_id,location,movement_type,quantity,timestamp,reference
183,1074,tartu,IN,184,2024-02-24,PO-36959
184,1125,tallinn,OUT,-18,2024-04-09,ORD-32551
185,1097,pärnu,OUT,-9,2024-04-15,ORD-22938
186,1331,tartu,ADJUSTMENT,-29,2025-01-11,ADJ-1934
187,1294,tallinn,IN,102,2024-11-30,PO-63293
188,1125,ladu,OUT,-15,2024-11-24,ORD-91526
189,1207,ladu,OUT,-25,2024-09-17,ORD-83629
190,1304,tallinn,IN,82,2024-04-08,PO-82263
191,1274,pärnu,OUT,-6,2024-11-24,ORD-95665
192,1218,tartu,ADJUSTMENT,-13,2024-09-06,ADJ-1691
193,1244,tallinn,IN,30,2024-04-04,PO-27135
194,1303,ladu,ADJUSTMENT,5,2024-04-23,ADJ-8441
195,1147,tartu,OUT,-42,2024-09-03,ORD-93655
196,1167,pärnu,IN,56,2024-03-26,PO-26633
197,1331,ladu,IN,20,2024-01-11,PO-63512
198,1108,tartu,OUT,-39,2024-11-16,ORD-77093
199,1330,tallinn,OUT,-19,2024-04-26,ORD-42095
200,1020,tartu,OUT,-11,2025-01-29,ORD-71952
201,1230,tartu,OUT,-21,2024-06-01,ORD-43493
202,1175,tartu,TRANSFER,-17,2024-03-21,TRANSFER-6409
203,1342,pärnu,TRANSFER,38,2024-01-30,TRANSFER-9445
204,1304,tartu,TRANSFER,48,2024-03-15,TRANSFER-9958
205,1193,tallinn,TRANSFER,44,2024-07-27,TRANSFER-9341
206,1038,pärnu,IN,92,2024-06-10,PO-21925
207,1240,pärnu,IN,100,2025-02-05,PO-86220
208,1285,pärnu,TRANSFER,19,2024-04-03,TRANSFER-9428
209,1228,tartu,OUT,-26,2024-09-07,ORD-47763
210,1137,pärnu,IN,99,2025-01-09,PO-24990
211,1188,ladu,OUT,-13,2024-03-13,ORD-15018
212,1207,ladu,OUT,-8,2024-11-15,ORD-27205
213,1204,tallinn,IN,113,2024-02-19,PO-43982
214,1044,tallinn,IN,18,2024-05-29,PO-20271
215,1028,tallinn,OUT,-42,2024-09-06,ORD-97098
216,1237,tartu,IN,140,2025-01-26,PO-59386
217,1161,tallinn,OUT,-41,2024-01-18,ORD-62601
218,1229,tartu,OUT,-50,2025-02-23,ORD-90229
219,1180,tartu,IN,60,2024-08-14,PO-95586
220,1160,pärnu,TRANSFER,94,2024-02-23,TRANSFER-2395
221,1128,pärnu,IN,156,2024-07-12,PO-12813
222,1274,pärnu,IN,132,2024-07-02,PO-92460
223,1157,ladu,IN,82,2024-01-16,PO-56259
224,1041,tartu,IN,45,2024-09-16,PO-33953
225,1100,tartu,OUT,-16,2025-01-19,ORD-70249
226,1224,tartu,IN,88,2024-12-16,PO-90024
227,1228,tallinn,IN,130,2024-08-04,PO-78745
228,1251,tartu,TRANSFER,50,2025-01-15,TRANSFER-4179
229,1198,tallinn,IN,162,2024-02-07,PO-46667
230,1143,ladu,OUT,-31,2024-05-24,ORD-36511
231,1054,tallinn,IN,41,2024-06-12,PO-83250
232,1166,tallinn,OUT,-40,2024-09-04,ORD-49480
233,1204,pärnu,IN,64,2024-07-09,PO-34692
234,1018,pärnu,OUT,-5,2024-03-02,ORD-43848
235,1041,ladu,IN,195,2024-08-04,PO-79642
236,1051,tallinn,OUT,-42,2024-10-02,ORD-82359
237,1067,ladu,OUT,-21,2024-12-28,ORD-62660
238,1314,pärnu,TRANSFER,81,2024-06-11,TRANSFER-7815
239,1064,pärnu,OUT,-28,2024-10-05,ORD-13731
240,1272,tartu,OUT,-1,2024-11-09,ORD-99833
241,1293,tartu,OUT,-48,2024-02-07,ORD-90319
242,1062,tallinn,OUT,-38,2024-05-06,ORD-66753
243,1017,ladu,OUT,-19,2024-02-20,ORD-30975
244,1157,tartu,OUT,-12,2024-06-29,ORD-96934
245,1076,tartu,IN,91,2024-05-02,PO-61202
246,1293,tartu,IN,125,2024-07-12,PO-97885
247,1151,pärnu,ADJUSTMENT,10,2025-02-20,ADJ-7095
248,1180,ladu,IN,80,2024-03-11,PO-17149
249,1156,pärnu,OUT,-3,2025-01-17,ORD-78090
250,1123,pärnu,TRANSFER,60,2024-12-27,TRANSFER-7613
251,1188,tallinn,OUT,-14,2025-01-27,ORD-16673
252,1127,tartu,IN,49,2024-08-30,PO-84713
253,1163,pärnu,IN,64,2024-10-23,PO-15905
254,1187,ladu,OUT,-4,2024-03-07,ORD-38569
255,1264,pärnu,ADJUSTMENT,27,2025-01-18,ADJ-2606
256,1076,ladu,OUT,-42,2024-11-10,ORD-59504
257,1111,ladu,OUT,-28,2024-01-19,ORD-11886
258,1310,pärnu,ADJUSTMENT,3,2024-05-14,ADJ-8791
259,1019,tallinn,ADJUSTMENT,7,2024-09-06,ADJ-4077
260,1301,tartu,OUT,-16,2025-02-25,ORD-79048
261,1160,ladu,OUT,-36,2025-01-20,ORD-98984
262,1165,pärnu,OUT,-39,2025-01-26,ORD-92282
263,1036,tallinn,OUT,-49,2024-06-25,ORD-42893
264,1117,pärnu,IN,153,2024-10-31,PO-23826
265,1265,pärnu,IN,128,2024-06-05,PO-81628
266,1243,pärnu,IN,38,2024-12-02,PO-11744
267,1051,tallinn,IN,195,2024-06-21,PO-64235
268,1176,tallinn,IN,195,2024-03-17,PO-31961
269,1119,pärnu,ADJUSTMENT,-14,2025-02-17,ADJ-9601
270,1245,tartu,OUT,-5,2024-11-05,ORD-96635
271,1006,tallinn,OUT,-16,2024-01-20,ORD-64210
272,1257,tallinn,IN,30,2024-12-15,PO-77005
273,1279,tallinn,OUT,-16,2024-08-13,ORD-64446
274,1163,tallinn,OUT,-48,2024-03-22,ORD-59247
275,1170,pärnu,ADJUSTMENT,11,2024-10-27,ADJ-3783
276,1210,tallinn,IN,115,2024-11-12,PO-76734
277,1333,pärnu,IN,155,2024-07-05,PO-20929
278,1088,tartu,OUT,-17,2024-12-27,ORD-41403
279,1017,pärnu,IN,30,2024-03-11,PO-43152
280,1337,tallinn,OUT,-33,2024-12-26,ORD-36035
281,1232,pärnu,OUT,-10,2025-02-21,ORD-14045
282,1044,ladu,IN,59,2024-06-08,PO-44304
283,1306,tallinn,IN,144,2025-01-16,PO-93156
284,1243,tallinn,IN,141,2024-02-21,PO-96700
285,1031,tallinn,OUT,-37,2024-10-02,ORD-74930
286,1105,ladu,OUT,-28,2024-06-13,ORD-51447
287,1266,tartu,IN,43,2024-02-25,PO-84314
288,1063,tallinn,IN,16,2024-02-13,PO-93681
289,1253,ladu,IN,111,2024-05-10,PO-90810
290,1345,ladu,OUT,-14,2024-04-24,ORD-32597
291,1177,ladu,IN,56,2024-04-21,PO-48089
292,1008,ladu,TRANSFER,-35,2024-07-16,TRANSFER-5828
293,1337,tartu,IN,150,2024-01-15,PO-80299
294,1128,pärnu,ADJUSTMENT,30,2024-05-18,ADJ-6346
295,1307,tartu,IN,20,2024-06-05,PO-56330
296,1188,pärnu,IN,144,2024-12-23,PO-36041
297,1020,ladu,IN,152,2024-10-07,PO-55267
298,1071,tallinn,IN,169,2024-01-05,PO-50692
299,1014,pärnu,ADJUSTMENT,4,2025-02-12,ADJ-7485
300,1169,tartu,IN,73,2024-01-25,PO-20135
301,1221,tallinn,OUT,-10,2024-01-09,ORD-66919
302,1339,tartu,TRANSFER,-3,2024-08-05,TRANSFER-9111
303,1309,tartu,IN,45,2024-06-17,PO-64867
304,1058,tartu,OUT,-5,2024-06-14,ORD-13379
305,1329,tartu,OUT,-10,2024-03-26,ORD-15899
306,1330,ladu,OUT,-38,2024-03-13,ORD-64316
307,1031,tallinn,OUT,-29,2024-10-08,ORD-74754
308,1279,tallinn,OUT,-13,2024-07-27,ORD-18066
309,1018,pärnu,OUT,-7,2024-04-28,ORD-67059
310,1336,tartu,TRANSFER,21,2025-02-23,TRANSFER-9473
311,1149,pärnu,IN,55,2025-01-15,PO-71053
312,1297,pärnu,IN,200,2024-03-19,PO-83765
313,1347,pärnu,TRANSFER,-55,2024-01-06,TRANSFER-2831
314,1319,tallinn,IN,59,2024-05-20,PO-33699
315,1025,tartu,OUT,-15,2025-02-17,ORD-50799
316,1166,tallinn,IN,134,2024-04-02,PO-81511
317,1116,tallinn,ADJUSTMENT,-15,2024-03-16,ADJ-1758
318,1274,pärnu,IN,103,2024-01-18,PO-48292
319,1214,tartu,OUT,-3,2024-11-19,ORD-69221
320,1012,tartu,IN,50,2024-10-16,PO-10944
321,1327,pärnu,OUT,-27,2024-01-11,ORD-96217
322,1047,tartu,OUT,-19,2024-01-28,ORD-81897
323,1008,ladu,TRANSFER,-38,2024-03-09,TRANSFER-1188
324,1202,pärnu,OUT,-49,2024-12-10,ORD-19201
325,1326,ladu,OUT,-35,2024-12-26,ORD-51548
326,1322,pärnu,IN,174,2024-02-10,PO-15337
327,1179,tartu,OUT,-24,2024-06-28,ORD-85487
328,1124,pärnu,OUT,-26,2024-03-30,ORD-31306
329,1118,tallinn,IN,171,2024-01-02,PO-94524
330,1259,tartu,OUT,-9,2024-03-01,ORD-24628
331,1193,ladu,TRANSFER,67,2024-11-11,TRANSFER-4977
332,1191,tallinn,IN,97,2024-11-14,PO-91026
333,1328,ladu,IN,162,2024-10-03,PO-60126
334,1214,tallinn,OUT,-27,2024-04-16,ORD-91505
335,1005,tallinn,ADJUSTMENT,-20,2024-03-08,ADJ-7305
336,1036,tallinn,IN,133,2024-03-25,PO-79162
337,1014,tartu,OUT,-17,2024-11-06,ORD-51454
338,1109,pärnu,IN,148,2024-09-13,PO-28168
339,1178,tartu,IN,187,2024-10-18,PO-48305
340,1026,ladu,OUT,-46,2024-10-28,ORD-51178
341,1056,tartu,OUT,-40,2024-06-16,ORD-69669
342,1308,pärnu,TRANSFER,91,2025-01-13,TRANSFER-7735
343,1077,ladu,OUT,-37,2024-06-15,ORD-38863
344,1066,tallinn,IN,88,2024-10-01,PO-60396
345,1288,ladu,OUT,-12,2024-11-01,ORD-97169
346,1118,pärnu,OUT,-44,2024-10-03,ORD-99131
347,1207,tallinn,OUT,-19,2024-04-04,ORD-22975
348,1121,tartu,ADJUSTMENT,-16,2024-02-24,ADJ-3658
349,1200,pärnu,TRANSFER,-84,2024-04-17,TRANSFER-6966
350,1074,tallinn,OUT,-35,2024-05-14,ORD-68319
351,1138,pärnu,ADJUSTMENT,18,2024-10-04,ADJ-2027
352,1224,pärnu,OUT,-36,2025-01-14,ORD-11841
353,1048,pärnu,OUT,-5,2024-12-23,ORD-77021
354,1130,pärnu,OUT,-37,2024-08-31,ORD-39918
355,1186,pärnu,OUT,-30,2025-02-28,ORD-90465
356,1011,pärnu,IN,188,2024-10-18,PO-80463
357,1066,tallinn,OUT,-21,2024-11-25,ORD-47618
358,1112,ladu,OUT,-2,2024-06-18,ORD-58598
359,1020,tallinn,IN,6,2024-11-09,PO-63919
360,1089,tartu,IN,104,2024-07-16,PO-17844
361,1062,tartu,ADJUSTMENT,30,2024-04-13,ADJ-6869
362,1114,ladu,OUT,-42,2024-02-20,ORD-15130
363,1030,tartu,OUT,-16,2024-12-23,ORD-29439
364,1333,tallinn,OUT,-17,2024-10-15,ORD-66762
365,1238,tartu,TRANSFER,67,2024-11-02,TRANSFER-3085
366,1189,ladu,IN,173,2024-04-10,PO-55195
367,1088,tallinn,IN,164,2024-12-03,PO-63195
368,1113,ladu,OUT,-7,2024-09-30,ORD-41352
369,1087,tartu,OUT,-8,2024-12-23,ORD-80111
370,1256,tallinn,IN,93,2024-10-14,PO-98535
371,1201,pärnu,IN,174,2024-05-17,PO-67360
372,1321,tartu,IN,164,2025-02-06,PO-87480
373,1181,ladu,OUT,-35,2024-06-26,ORD-54463
374,1313,tallinn,IN,98,2024-08-11,PO-35804
375,1123,tallinn,OUT,-18,2024-07-06,ORD-12407
376,1319,ladu,IN,27,2024-07-27,PO-43111
377,1071,ladu,IN,111,2024-10-25,PO-67242
378,1311,ladu,OUT,-34,2024-02-23,ORD-45408
379,1091,pärnu,IN,159,2024-03-13,PO-62215
380,1324,pärnu,OUT,-18,2024-09-28,ORD-89905
381,1296,tartu,OUT,-4,2024-01-25,ORD-85047
382,1337,pärnu,IN,180,2024-03-09,PO-39860
383,1347,ladu,IN,41,2024-12-21,PO-54002
384,1042,tartu,OUT,-40,2024-04-01,ORD-61070
385,1031,pärnu,OUT,-27,2024-11-04,ORD-60063
386,1342,tartu,TRANSFER,70,2024-06-28,TRANSFER-7585
387,1006,tallinn,IN,178,2024-06-23,PO-65997
388,1092,tallinn,IN,85,2024-11-20,PO-34723
389,1164,tartu,IN,94,2024-04-07,PO-76956
390,1077,pärnu,OUT,-15,2024-07-26,ORD-35644
391,1178,tartu,TRANSFER,-5,2024-10-10,TRANSFER-9871
392,1183,tallinn,OUT,-25,2024-01-11,ORD-74472
393,1186,pärnu,IN,105,2024-09-23,PO-23033
394,1172,pärnu,ADJUSTMENT,19,2024-09-03,ADJ-6709
395,1195,tartu,TRANSFER,-98,2024-11-20,TRANSFER-2138
396,1198,tallinn,OUT,-39,2025-02-08,ORD-93668
397,1246,ladu,IN,128,2024-09-12,PO-20230
398,1027,tartu,IN,51,2025-01-10,PO-58211
399,1037,tartu,IN,34,2025-01-01,PO-41068
400,1265,pärnu,IN,199,2024-06-06,PO-21109
401,1322,tartu,OUT,-42,2024-08-03,ORD-56503
402,1135,ladu,OUT,-3,2024-02-22,ORD-14267
403,1124,pärnu,OUT,-45,2024-08-18,ORD-71997
404,1210,tallinn,OUT,-47,2024-03-14,ORD-70007
405,1202,ladu,IN,68,2024-06-28,PO-21540
406,1143,pärnu,OUT,-24,2025-01-30,ORD-57946
407,1024,pärnu,ADJUSTMENT,24,2025-01-10,ADJ-4286
408,1202,tallinn,TRANSFER,52,2024-10-24,TRANSFER-3525
409,1154,tallinn,ADJUSTMENT,-13,2024-09-07,ADJ-9402
410,1213,tallinn,IN,51,2024-07-18,PO-11853
411,1212,tallinn,OUT,-1,2024-01-22,ORD-67560
412,1121,ladu,IN,36,2024-11-17,PO-19683
413,1162,pärnu,IN,160,2025-02-20,PO-15897
414,1054,pärnu,TRANSFER,50,2025-02-24,TRANSFER-3680
415,1060,tallinn,OUT,-9,2024-02-25,ORD-19033
416,1122,pärnu,OUT,-13,2025-01-11,ORD-97677
417,1050,ladu,OUT,-27,2024-04-22,ORD-95088
418,1211,tallinn,OUT,-26,2025-02-20,ORD-52010
419,1092,pärnu,OUT,-32,2024-01-27,ORD-29943
420,1094,tartu,TRANSFER,-72,2024-12-26,TRANSFER-6330
421,1333,ladu,ADJUSTMENT,-25,2024-06-04,ADJ-4082
422,1035,tallinn,TRANSFER,87,2024-11-11,TRANSFER-8131
423,1025,tartu,IN,168,2024-06-14,PO-81922
424,1074,ladu,OUT,-16,2024-10-12,ORD-93004
425,1348,ladu,IN,140,2024-04-30,PO-22104
426,1087,tartu,IN,148,2024-01-27,PO-66132
427,1128,ladu,OUT,-7,2024-09-15,ORD-68332
428,1187,tallinn,IN,152,2024-04-22,PO-84763
429,1264,ladu,IN,149,2024-04-26,PO-62753
430,1223,ladu,OUT,-50,2024-05-25,ORD-67347
431,1132,tartu,OUT,-45,2024-01-30,ORD-55853
432,1170,ladu,OUT,-18,2024-05-18,ORD-93679
433,1150,tallinn,IN,18,2024-08-12,PO-46588
434,1192,ladu,TRANSFER,24,2024-09-16,TRANSFER-5725
435,1180,pärnu,OUT,-14,2024-02-16,ORD-43012
436,1094,ladu,IN,126,2024-08-08,PO-86641
437,1320,tallinn,OUT,-28,2025-01-12,ORD-64416
438,1208,tartu,IN,120,2025-02-16,PO-31652
439,1047,tallinn,OUT,-22,2024-01-15,ORD-59388
440,1270,ladu,IN,191,2024-11-26,PO-53922
441,1085,ladu,OUT,-8,2024-09-23,ORD-28140
442,1246,tallinn,OUT,-6,2024-01-11,ORD-92931
443,1136,pärnu,OUT,-36,2024-03-26,ORD-37526
444,1172,pärnu,TRANSFER,61,2024-05-31,TRANSFER-2854
445,1312,tartu,IN,200,2024-10-14,PO-22270
446,1211,tartu,IN,7,2025-02-28,PO-41676
447,1152,tartu,OUT,-25,2024-10-12,ORD-36029
448,1195,tallinn,IN,20,2024-04-09,PO-15421
449,1247,ladu,OUT,-41,2024-03-10,ORD-90632
450,1151,tartu,TRANSFER,75,2024-04-02,TRANSFER-6713
451,1118,ladu,ADJUSTMENT,-18,2024-10-11,ADJ-1978
452,1162,pärnu,OUT,-6,2024-07-27,ORD-92219
453,1203,tartu,IN,174,2024-03-16,PO-42544
454,1209,ladu,OUT,-17,2024-11-11,ORD-46039
455,1169,ladu,IN,107,2024-04-03,PO-63762
456,1304,tallinn,IN,34,2025-02-18,PO-71601
